police_force,model,MAE,RMSE,MAPE_%
West Yorkshire,SARIMAX,10.034044102462511,12.955632368353882,14.89906407967941
West Yorkshire,Seasonal naive,13.26923076923077,15.836909177857033,20.428658377353617
South Yorkshire,SARIMAX,13.17650379137817,15.475722779658806,28.622729272211473
South Yorkshire,Seasonal naive,8.961538461538462,11.462312828771312,21.45594394563253
Humberside,SARIMAX,12.23204745211804,14.686577089297,29.775432533703057
Humberside,Seasonal naive,8.711538461538462,10.264764226000741,20.24731444405784
